UID,OLD_DATA,REF,IDENT,SLAT,SLONG,AGE,DAGE,AGEMTD,CONTINENT,REPLOC,INTM,P,NDIR,INC,DEC,K,A95,NINT,B,DB,DB%,DBN (%),VDM/VADM,VDM,VADM,GROUP,TYPE,FORM,ROCKMAG,COMMENTS,LOCATION NAME,QAGE,QSTAT,QTRM,QALT,QMD,QACN,QTECH,QLITH,QMAG,QDIR,QPI
1336,1696,118,53,37.7,241.1,0.064,0.014,K-Ar,North America,U.S.A.,T+,N,8,37.9,332.3,1604,1.4,1,20.6,,,,,4.51072828,,Volcanic,,Lava Flow,"Ti-poor TiMa,Tc appr. 565∞C, IRM, MD to PSD",,,0,0,0,1,0,0,0,0,0,1,2
2431,6256,503,GC28,19.7,246.4,0.06455658,,Estimated,Pacific Ocean,East Pacific Rise,T+,N,,,,,,4,12,0.8,6,10.79471728,,,,volcanic,Glass,Lava Flow,,,,0,0,0,1,0,0,0,0,0,0,1
4125,,717,T19,-35.08333333,347.7166667,0.06485,0.014354268,Interpolation,Atlantic Ocean,Tristan da Cunha,T+,N,6,-53.9,-3.1,312,3.7991,5,22,5,22.72727273,26.5045,,4.064298746,,Volcanic,Basanitic/Tephritic,Lava Flow,,"Directional Groups taken together, kappa read in as k,  a95 calculated in matlab",Tristan da Cunha,0,0,0,1,1,0,0,0,0,1,3
1367,1741,121,VU12,38.4,15.3,0.065,0.015,K-Ar,Europe,Italy,T+,N,2,32.9,14,,,2,31,6.363961031,20.52890655,42.22924328,,7.070839389,,Volcanic,,Lava Flow, Ti-poor TiMa,,"Vulcano, Sicily",0,0,0,1,0,0,0,0,0,0,1
3992,,707,isl007,64.12054,338.68381,0.0655,0.089,Stratigraphy,Atlantic Ocean,Iceland,T+,N,,,,,,5,17.51,0.65,3.73,5.7222,2.45,,,Volcanic,glassy,Hyaloclastite,,,,0,1,0,1,1,0,0,0,1,0,4
3993,,707,isl011,64.10016,338.75934,0.0655,0.089,Stratigraphy,Atlantic Ocean,Iceland,T+,N,,,,,,10,26.53,2.54,9.56,13.1957,3.71,,,Volcanic,glassy,Pillow margin,,,,0,1,0,1,1,0,0,0,1,0,4
3994,,707,isl013,64.04375,338.64195,0.0655,0.089,Stratigraphy,Atlantic Ocean,Iceland,T+,N,,,,,,14,41.15,2.86,6.96,9.1318,5.75,,,Volcanic,glassy,Pillow margin,,,,0,1,0,1,1,0,0,0,1,0,4
2108,2706,181,SOH-4 Flow 177,19.28,205,0.0658,,Estimated,Pacific Ocean,Hawaii,T+,N,14,41.1,,,,10,23.9,5.5,23.0125523,32.30629448,5.4,5.081124071,5.4,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 134,"Core SOH-4 Pahoa, Hawaii",0,0,0,1,0,0,0,0,1,0,2
2109,2725,181,SOH-4 Flow 177,19.28,205,0.0658,,Estimated,Pacific Ocean,Hawaii,T+,N,14,41.1,,,,10,23.9,5.5,23,32.30629448,5.4,5.081124071,,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 106,,0,0,0,1,1,0,0,0,0,0,2
2372,3070,207,OT24,35.874,137.554,0.066,0.005,K-Ar,Asia,Japan,T+,N,7,57,358.4,1428.571429,1.4,3,47.3,11.9,25,45.99986059,,8.40761473,,Sedimentary,Andesite,Lava Flow,,,,1,0,0,1,1,0,0,0,0,1,4
2373,3073,207,OT37,35.898,137.525,0.066,0.005,K-Ar,Asia,Japan,T+,N,6,71.5,342.5,130.6666667,5,1,25.4,,,,3.8,3.747484305,,Sedimentary,Andesite,Lava Flow,,,,1,0,0,1,1,0,0,0,0,1,4
2110,2706,181,SOH-4 Flow 178,19.28,205,0.0667,,Estimated,Pacific Ocean,Hawaii,T+,N,3,35.2,,,,12,24.3,,,,5.5,5.444895931,5.5,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 135,"Core SOH-4 Pahoa, Hawaii",0,0,0,1,0,0,0,0,1,0,2
2111,2726,181,SOH-4 Flow 178,19.28,205,0.0667,,Estimated,Pacific Ocean,Hawaii,T+,N,3,35.2,,,,1,24.3,,,,5.5,5.444895931,,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 106,,0,0,0,1,1,0,0,0,0,0,2
1494,1934,139,29,19.75,204.917,0.0668,,Interpolation,Pacific Ocean,Hawaii,T+,N,3,35.9,,,,3,15,1.9,13,22.22133627,,3.34158705,,Volcanic,,Lava Flow,"TiMa, var. Ti-amount,Tc range 350-580∞C, low coec.","updated age model uncertainty referenced in ref 680 supercedes age data here; VDMc, replaces ref 110",,0,0,0,1,0,0,0,0,0,0,1
2112,2706,181,SOH-4 Flow 179,19.28,205,0.067,,Estimated,Pacific Ocean,Hawaii,T+,N,3,31.4,,,,3,24.6,2.2,8.943089431,15.58273494,5.6,5.677102616,5.6,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 136,"Core SOH-4 Pahoa, Hawaii",0,0,0,1,0,0,0,0,1,0,2
2113,2727,181,SOH-4 Flow 179,19.28,205,0.067,,Estimated,Pacific Ocean,Hawaii,T+,N,3,31.4,,,,3,24.6,2.2,9,15.58273494,5.6,5.677102616,,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 106,,0,0,0,1,1,0,0,0,0,0,2
2114,2706,181,SOH-4 Flow 180,19.28,205,0.0674,,Estimated,Pacific Ocean,Hawaii,T+,N,4,30.8,,,,34,20,3.9,19.5,23.57047644,4.5,4.635618248,4.5,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 137,"Core SOH-4 Pahoa, Hawaii",0,1,0,1,0,0,0,0,1,0,3
2115,2728,181,SOH-4 Flow 180,19.28,205,0.0674,,Estimated,Pacific Ocean,Hawaii,T+,N,4,30.8,,,,3,20,3.9,20,34.86280481,4.5,4.635618248,,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 106,,0,0,0,1,1,0,0,0,0,0,2
3616,9163,680,flow 15,19.67,205,0.0674,,Interpolation,Pacific Ocean,Hawaii,T+,N,2,23.7,,,,2,28.4,,,,,6.884829961,,Volcanic,Basalt,Lava flow,Magnetite,"Same flows as HSDP1, REF 139","HSDP2, Hawaii",0,0,0,1,0,0,0,0,0,0,1
2116,2706,181,SOH-4 Flow 181,19.28,205,0.0689,,Estimated,Pacific Ocean,Hawaii,T+,N,3,38.4,,,,3,29.9,10.8,36.12040134,70.36389128,6.8,6.518028485,6.8,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 138,"Core SOH-4 Pahoa, Hawaii",0,0,0,1,0,0,0,0,1,0,2
2117,2729,181,SOH-4 Flow 181,19.28,205,0.0689,,Estimated,Pacific Ocean,Hawaii,T+,N,3,38.4,,,,3,29.9,10.8,36,70.36389128,6.8,6.518028485,,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 106,,0,0,0,1,1,0,0,0,0,0,2
1149,1429,99,2,37.8,14.9,0.0695,0.002,K-Ar,Europe,Italy,T+,N,,,,,,1,45,,,,8,,,Volcanic,Basalt,Lava Flow,"Ti-rich+Ti-poor TiMa,low temp. oxidation,  Qn<9.5",VADM,Mt. Etna,1,0,0,1,0,0,0,0,0,0,2
2118,2706,181,SOH-4 Flow 182,19.28,205,0.0696,,Estimated,Pacific Ocean,Hawaii,T+,N,6,52.1,,,,1,24.1,,,,5.5,4.549958406,5.5,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 139,"Core SOH-4 Pahoa, Hawaii",0,0,0,1,0,0,0,0,1,0,2
2119,2730,181,SOH-4 Flow 182,19.28,205,0.0696,,Estimated,Pacific Ocean,Hawaii,T+,N,6,52.1,,,,1,24.1,,,,5.5,4.549958406,,Volcanic,Basalt,Lava Flow,,VADM ; VDMc = 4.6 ; supercedes ref 106,,0,0,0,1,1,0,0,0,0,0,2
3820,9370,688,MC37,45.848,3.021,0.0696,0.013,Thermoluminescence,Europe,France,T+,N,6,52.5,355.6,23,14.3,1,17.7,,,,,3.325749552,,Volcanic,Basalt,Lava Flow,,VDM,"Mas d'Argnat, Massif Central, France",1,0,0,1,0,0,0,0,0,0,2
2208,2818,191,Tammar 166,21.6496,314.7278,0.07,,Estimated,Atlantic Ocean,Mid-Atlantic ridge,T+,O,,,,,,1,37.7,,,,8.2,,8.215093104,Volcanic,Basalt,Pillow,Titanomagnetite,VADM,,0,0,0,1,1,0,0,0,0,0,2
3406,8963,663,mc200,-77.55,166.161,0.07,0.01,Ar/Ar,Antarctica,Antarctica,T+,N,5,-83.7,296.8,389.6,3.9,3,14.3,1.2,8,14.61008174,,1.882066235,,Volcanic,Basalt,Lava flow,Magnetite and Hematite mix,VDMc; estimated NDIR,"Erebus Volcanic Province, Ross Island, Antartica",1,0,0,1,0,1,0,0,1,1,5
2120,2706,181,SOH-4 Flow 183,19.28,205,0.0701,,Estimated,Pacific Ocean,Hawaii,T+,N,4,48.2,,,,34,19.3,4.5,23.31606218,28.2850536,4.4,3.81143542,4.4,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 140,"Core SOH-4 Pahoa, Hawaii",0,0,0,1,0,0,0,0,1,0,2
2121,2731,181,SOH-4 Flow 183,19.28,205,0.0701,,Estimated,Pacific Ocean,Hawaii,T+,N,4,48.2,,,,4,19.6,3.8,19,32.17247723,4.5,3.87068053,,Volcanic,Basalt,Lava Flow,,VADM ; VDMc = 3.9 ; supercedes ref 106,,0,0,0,1,1,0,0,0,0,0,2
2122,2706,181,SOH-4 Flow 184,19.28,205,0.0705,,Estimated,Pacific Ocean,Hawaii,T+,N,3,38,,,,1,33,,,,7.5,7.219523717,7.5,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 141,"Core SOH-4 Pahoa, Hawaii",0,0,0,1,0,0,0,0,1,0,2
2123,2732,181,SOH-4 Flow 184,19.28,205,0.0705,,Estimated,Pacific Ocean,Hawaii,T+,N,3,38,,,,1,33,,,,7.5,7.219523717,,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 106,,0,0,0,1,1,0,0,0,0,0,2
2432,6281,503,GC57,17.4,246.8,0.070648821,,Estimated,Pacific Ocean,East Pacific Rise,T+,N,,,,,,3,10,1.4,14,24.63484493,,,,volcanic,Glass,Lava Flow,,,,0,0,0,1,0,0,0,0,0,0,1
2124,2706,181,SOH-4 Flow 185,19.28,205,0.0708,,Estimated,Pacific Ocean,Hawaii,T+,N,7,43.5,,,,3,33.5,3.6,10.74626866,18.78072945,7.6,6.955390628,7.6,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 142,"Core SOH-4 Pahoa, Hawaii",0,0,0,1,0,0,0,0,1,0,2
2125,2733,181,SOH-4 Flow 185,19.28,205,0.0708,,Estimated,Pacific Ocean,Hawaii,T+,N,,,,,,4,35.8,0.8,2,3.607970306,8.1,,,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 106,,0,0,0,1,1,0,0,0,0,0,2
2126,2706,181,SOH-4 Flow 186,19.28,205,0.0711,,Estimated,Pacific Ocean,Hawaii,T+,N,3,48.2,,,,1,16,,,,3.6,3.159739208,3.6,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 143,"Core SOH-4 Pahoa, Hawaii",0,0,0,1,0,0,0,0,1,0,2
2127,2734,181,SOH-4 Flow 186,19.28,205,0.0711,,Estimated,Pacific Ocean,Hawaii,T+,N,3,48.2,,,,1,16,,,,3.6,3.159739208,,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 106,,0,0,0,1,1,0,0,0,0,0,2
2128,2706,181,SOH-4 Flow 187,19.28,205,0.0716,,Estimated,Pacific Ocean,Hawaii,T+,N,3,34.6,,,,3,21,1.4,6.666666667,11.58166774,4.8,4.728506688,4.8,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 144,"Core SOH-4 Pahoa, Hawaii",0,0,0,1,0,0,0,0,1,0,2
2129,2735,181,SOH-4 Flow 187,19.28,205,0.0716,,Estimated,Pacific Ocean,Hawaii,T+,N,3,34.6,,,,3,21,1.4,7,11.58166774,4.8,4.728506688,,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 106,,0,0,0,1,1,0,0,0,0,0,2
1495,1935,139,30,19.75,204.917,0.0724,,Interpolation,Pacific Ocean,Hawaii,T+,N,3,43.1,,,,3,14,1,7,12.41575788,,2.918490735,,Volcanic,,Lava Flow,"TiMa, var. Ti-amount,Tc range 350-580∞C, low coec.","updated age model uncertainty referenced in ref 680 supercedes age data here; VDMc, replaces ref 110",,0,0,0,1,0,0,0,0,0,0,1
2130,2706,181,SOH-4 Flow 188,19.28,205,0.0724,,Estimated,Pacific Ocean,Hawaii,T+,N,3,29.2,,,,2,33,0.1,0.303030303,0.593959788,7.5,7.734622853,7.5,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 145,"Core SOH-4 Pahoa, Hawaii",0,0,0,1,0,0,0,0,1,0,2
2131,2736,181,SOH-4 Flow 188,19.28,205,0.0724,,Estimated,Pacific Ocean,Hawaii,T+,N,3,29.2,,,,2,33,0.1,0,0.593959788,7.5,7.734622853,,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 106,,0,0,0,1,1,0,0,0,0,0,2
1201,1520,109,RE02,-21,55.5,0.073,0.003,K-Ar,Indian Ocean,La Reunion,T+,N,3,-42,8.7,15,33.6,2,16.4,1.555634919,9.485578772,18.7541664,,3.45470512,,Volcanic,,Lava Flow,titanomagnetite,,"Piton de Neiges, Reunion",1,0,0,1,1,0,0,0,0,0,3
3503,9086,667,UZ30,32.729,130.296,0.073,0.004,K-Ar,Asia,Japan,LTD-DHT-S,O,,,,,,5,32.8,6.6,20,31.8250538,8.5,,6.191119394,Volcanic,Felsic-Intermediate,Lava flow,Titanomagnetite, Not used within study as Standard deviation of samples exceeds 15%,"Unzen Volcano, Japan",1,0,1,1,1,0,0,0,0,0,4
3504,9052,667,UZ31,32.739,130.303,0.073,0.004,K-Ar,Asia,Japan,LTD-DHT-S,N,9,46,22.9,42.2,8.8,6,28,6,21,32.76826644,,5.664030405,,Volcanic,Felsic-Intermediate,Lava flow,Titanomagnetite, Not used within study as Standard deviation of samples exceeds 15%,"Unzen Volcano, Japan",1,0,1,1,1,0,0,0,0,0,4
1202,1521,109,RE04,-21,55.5,0.0734,,Interpolation,Indian Ocean,La Reunion,T+,N,3,-38.4,-7.5,91,13,1,45.6,,,,,9.935858323,,Volcanic,,Lava Flow,titanomagnetite,,"Piton de Neiges, Reunion",1,0,0,1,0,0,0,0,0,0,2
1203,1522,109,RE04bis,-21,55.5,0.0734,,Interpolation,Indian Ocean,La Reunion,T+,N,5,-36.4,-12.1,376,3.5,1,47,,,,,10.42132065,,Volcanic,,Lava Flow,titanomagnetite,,"Piton de Neiges, Reunion",1,0,0,1,0,0,0,0,0,1,3
1243,1570,111,2489-12,9.55,255.8,0.074,0.003,U-Pb,Pacific Ocean,,T+,N,,,,7160,0.7,4,8.5,0.2,2,3.799112697,2.1,,2.112576366,Volcanic,Basalt,Chilled margin,,VADM,,1,0,0,1,0,0,0,0,0,0,2
3199,8525,639,mc09,-77.55,166.2,0.074,0.015,Ar/Ar,Antarctica,Antarctica,T+,N,8,-82.7,258,220,3.7,2,27.5,0.6,2,4.278262999,,3.640797518,,Volcanic,,Lava flow,,"VADM=(3,61+-0,8)x10^22 Am^2","McMurdo Sound, Antarctica",1,0,0,1,0,0,0,0,1,1,4
2132,2706,181,SOH-4 Flow 190,19.28,205,0.0742,,Estimated,Pacific Ocean,Hawaii,T+,N,6,20,,,,4,23.8,3.8,15.96638655,26.25667313,5.4,5.878420855,5.4,Volcanic,Basalt,Lava Flow,,,"Core SOH-4 Pahoa, Hawaii",0,0,0,1,0,0,0,0,1,0,2
2133,2737,181,SOH-4 Flow 190,19.28,205,0.0742,,Estimated,Pacific Ocean,Hawaii,T+,N,6,20,,,,4,23.8,3.8,16,26.25667313,5.4,5.878420855,,Volcanic,Basalt,Lava Flow,,VADM ; VDMc = 5.9 ; supercedes ref 106,,0,0,0,1,1,0,0,0,0,0,2
1204,1523,109,RE07,-21,55.5,0.0755,,Interpolation,Indian Ocean,La Reunion,T+,N,5,-44.4,-5.1,43,9.4,3,29.23333333,0.577350269,1.974972415,3.419446532,,6.011020333,,Volcanic,,Lava Flow,titanomagnetite,,"Piton de Neiges, Reunion",1,0,0,1,1,0,0,0,0,0,3
1205,1524,109,RE07bis,-21,55.5,0.0755,,Interpolation,Indian Ocean,La Reunion,T+,N,4,-50.4,2.4,38,11,4,33.6,10.26969652,30.56457298,52.94504758,,6.468434528,,Volcanic,,Lava Flow,titanomagnetite,,"Piton de Neiges, Reunion",1,0,0,1,1,0,0,0,0,0,3
2912,,605,Rangitoto,-36.77,174.89,0.076,,C-14,Pacific Ocean,New Zealand,LTD-DHT-S,N,21,-59.7,0.2,1011.371734,1,3,40,5.1,12.75,22.37155085,,6.868443325,,Volcanic,Basalt,Lava Flow,titanomagnetite,estimated k,Auckland Volcanic Field,1,0,1,1,1,0,0,0,0,1,5
2134,2706,181,SOH-4 Flow 193,19.28,205,0.0763,,Estimated,Pacific Ocean,Hawaii,T+,N,5,24.6,,,,4,19.6,3.5,17.85714286,29.50628525,4.4,4.727664848,4.4,Volcanic,Basalt,Lava Flow,,,"Core SOH-4 Pahoa, Hawaii",0,0,0,1,0,0,0,0,1,0,2
2135,2738,181,SOH-4 Flow 193,19.28,205,0.0763,,Estimated,Pacific Ocean,Hawaii,T+,N,5,24.6,,,,4,19.6,3.5,18,29.50628525,4.4,4.727664848,,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 106,,0,0,0,1,1,0,0,0,0,0,2
4126,,717,T10-11,-35.08333333,347.7166667,0.07655,0.0135,Ar/Ar,Atlantic Ocean,Tristan da Cunha,T+,N,6,-51.8,-6.5,107,6.5064,11,15,3,20,27.5219,2.7,2.842032951,,Volcanic,Basanitic/Tephritic,Lava Flow,,"Directional Groups taken together, kappa read in as k,  a95 calculated in matlab",Tristan da Cunha,1,0,0,1,1,0,0,0,0,1,4
3939,9472,704,Flow 4,33.3,126.5,0.0766,0.024,Ar/Ar,Asia,South Korea,T+,N,,,,,,5,43.3,0.9,2,3.202062631,8.1,,,Volcanic,Trachyte,Lava flow,,VADM,Jeju Geopark Drill Core,0,1,1,1,1,1,0,0,0,0,5
1206,1525,109,RE09bis,-21,55.5,0.0769,,Interpolation,Indian Ocean,La Reunion,T+,N,6,-47.6,-10.2,51,8.5,3,43.73333333,9.62410169,22.00633008,39.70521051,,8.690190849,,Volcanic,,Lava Flow,titanomagnetite,,"Piton de Neiges, Reunion",1,0,0,1,1,0,0,0,0,1,4
4127,,717,T09,-35.08333333,347.7166667,0.0769,0.0125,Ar/Ar,Atlantic Ocean,Tristan da Cunha,T+,N,7,-56.2,-12.6,586,2.4958,5,8,1,12.5,19.4484,1.5,1.436417678,,Volcanic,Basanitic/Tephritic,Lava Flow,,"Directional Groups taken together, kappa read in as k,  a95 calculated in matlab",Tristan da Cunha,1,1,0,1,1,0,0,0,0,1,5
2433,6257,503,GC29,19.7,246.4,0.076905444,,Estimated,Pacific Ocean,East Pacific Rise,T+,N,,,,,,3,12.6,1,7,13.80912558,,,,volcanic,Glass,Lava Flow,,,,0,0,0,1,0,0,0,0,0,0,1
1961,2483,165,GU04,16,298.3,0.077,0.004,K-Ar,Atlantic Ocean,Lesser Antilles,T+,N,8,17.7,6.1,,2.4,4,25.4,3.4,13,21.88979657,6,6.336582175,5.92748012,Volcanic,,Lava Flow,,weighted F and VADM; ,,1,0,0,1,0,0,0,0,0,0,2
2136,2706,181,SOH-4 Flow 194,19.28,205,0.0772,,Estimated,Pacific Ocean,Hawaii,T+,N,4,21.5,,,,2,19.9,0.9,4.522613065,8.881639877,4.5,4.87997907,4.5,Volcanic,Basalt,Lava Flow,,,"Core SOH-4 Pahoa, Hawaii",0,0,0,1,0,0,0,0,1,0,2
2137,2739,181,SOH-4 Flow 194,19.28,205,0.0772,,Estimated,Pacific Ocean,Hawaii,T+,N,4,21.5,,,,2,19.9,0.9,5,8.881639877,4.5,4.87997907,,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 106,,0,0,0,1,1,0,0,0,0,0,2
4140,,719,h16a,19.71277778,205.0087121,0.0774,,Interpolation,Pacific Ocean,Hawaii,T+,O,,,,,,9,26.08,1.3,4.984662577,6.948162364,,,5.83,Volcanic,Basaltic glassy margin,Lava Flow,,Same age model as ref 680 - Sharp and Renne 2005,,0,1,0,1,1,0,0,0,1,0,4
1207,1526,109,RE10,-21,55.5,0.0776,,Interpolation,Indian Ocean,La Reunion,T+,N,4,-43.7,-5.5,122,8.4,5,47.4,9.238235762,19.48994887,30.77427042,,9.816754135,,Volcanic,,Lava Flow,titanomagnetite,,"Piton de Neiges, Reunion",1,0,0,1,0,0,0,0,0,0,2
3482,9023,666,DG,19.3845,259.6643,0.078,0.019,Ar/Ar,North America,Mexico,MSP_DB,O,,,,,,8,48,3,6,8.877489864,10.8,,,Volcanic,Basalt,Lava flow,Titanomagnetite,VADM,"Trans-mexican Volcanic belt, Central Mexico",0,1,1,1,0,0,0,0,0,0,3
1208,1527,109,RE11,-21,55.5,0.0783,,Interpolation,Indian Ocean,La Reunion,T+,N,3,-29.8,-7.4,199,11.3,2,44.55,8.838834765,19.84025761,40.44521171,,10.39397252,,Volcanic,,Lava Flow,titanomagnetite,,"Piton de Neiges, Reunion",1,0,0,1,0,0,0,0,0,0,2
2138,2706,181,SOH-4 Flow 195,19.28,205,0.0785,,Estimated,Pacific Ocean,Hawaii,T+,N,12,29.5,,,,3,25.9,3.2,12.35521236,21.66061586,5.9,6.058096695,5.9,Volcanic,Basalt,Lava Flow,,,"Core SOH-4 Pahoa, Hawaii",0,0,0,1,0,0,0,0,1,0,2
2139,2740,181,SOH-4 Flow 195,19.28,205,0.0785,,Estimated,Pacific Ocean,Hawaii,T+,N,12,29.5,,,,3,25.9,3.2,12,21.66061586,5.9,6.058096695,,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 106,,0,0,0,1,1,0,0,0,0,0,2
1209,1528,109,RE12,-21,55.5,0.079,,Interpolation,Indian Ocean,La Reunion,T+,N,3,-37.4,-20.4,727,4.6,4,50.95,3.50666033,6.882552168,11.14665946,,11.20025744,,Volcanic,,Lava Flow,titanomagnetite,,"Piton de Neiges, Reunion",1,0,0,1,0,0,0,0,0,0,2
3617,9164,680,flow 18,19.67,205,0.0794,,Interpolation,Pacific Ocean,Hawaii,T+,N,2,43,,,,1,30.2,,,,,6.30192419,,Volcanic,Basalt,Lava flow,Magnetite,"Same flows as HSDP1, REF 139","HSDP2, Hawaii",0,0,0,1,1,0,0,0,0,0,2
1210,1529,109,RE13,-21,55.5,0.0797,,Interpolation,Indian Ocean,La Reunion,T+,N,5,-32.2,-5.7,180,4.1,2,34.8,4.949747468,14.22341227,28.43531904,,7.979832571,,Volcanic,,Lava Flow,titanomagnetite,,"Piton de Neiges, Reunion",1,0,0,1,1,0,0,0,0,1,4
1150,1430,99,4,37.8,14.9,0.08,0.0024,K-Ar,Europe,Italy,T+,N,,,,,,3,15.2,1.7,11,19.56196064,2.7,,,Volcanic,Basalt,Lava Flow,"Ti-rich+Ti-poor TiMa,low temp. oxidation,  Qn<9.5",VADM,Mt. Etna,1,0,0,1,0,0,0,0,0,0,2
1151,1431,99,5,37.8,14.9,0.08,0.003,K-Ar,Europe,Italy,T+,N,,27.3,339.4,,10,3,43.6,14.6,33,64.07748432,,10.34724593,,Volcanic,Basalt,Lava Flow,"Ti-rich+Ti-poor TiMa,low temp. oxidation,  Qn<9.5",,Mt. Etna,1,0,0,1,0,0,0,0,0,0,2
2374,3071,207,OT33,35.93,137.447,0.08,0.004,K-Ar,Asia,Japan,T+,N,16,63,104.2,119.6289063,3.2,2,4.9,0.6,12,24.35278799,,0.805974655,,Sedimentary,Andesite,Lava Flow,,,,1,0,0,1,1,0,0,0,0,1,4
3483,9024,666,DF,19.1094,260.0684,0.08,0.035,Ar/Ar,North America,Mexico,MSP_DB,N,9,31.8,12,67.6,6.3,8,48,3,6,8.877489864,,11.04472356,,Volcanic,Basalt,Lava flow,Titanomagnetite,,"Trans-mexican Volcanic belt, Central Mexico",0,1,1,1,0,0,0,0,0,1,4
3505,9080,667,UZ17,32.704,130.301,0.08,,Estimated,Asia,Japan,LTD-DHT-S,T,9,63.5,59,1288.6,3.9,1,19.1,,,,,3.121162419,,Volcanic,Felsic-Intermediate,Lava flow,Titanomagnetite,Published age is stated as <0.8 Ma. Not used within study as Nint < 3. VGP latitude < 45,"Unzen Volcano, Japan",0,0,1,1,1,0,0,0,0,1,4
3506,9081,667,UZ18,32.705,130.301,0.08,,Estimated,Asia,Japan,LTD-DHT-S,N,8,17.2,5.4,170.1,4.8,5,16.9,1.6,9,14.66617101,,4.224545733,,Volcanic,Felsic-Intermediate,Lava flow,Titanomagnetite,Published age is stated as <0.8 Ma. ,"Unzen Volcano, Japan",0,1,1,1,1,0,0,0,0,1,5
3507,9062,667,UZ44,32.737,130.288,0.08,0.02,K-Ar,Asia,Japan,LTD-DHT-S,N,11,59.1,0,139.6,5.3,5,39.6,4.6,11,18.04808884,6.8,6.852623574,,Volcanic,Felsic-Intermediate,Lava flow,Titanomagnetite,,"Unzen Volcano, Japan",1,1,1,1,1,0,0,0,0,1,6
1211,1530,109,RE14,-21,55.5,0.0804,,Interpolation,Indian Ocean,La Reunion,T+,N,4,-38.9,-17.3,140,6.5,2,62.4,2.969848481,4.759372566,9.34857586,,13.53522026,,Volcanic,,Lava Flow,titanomagnetite,,"Piton de Neiges, Reunion",1,0,0,1,0,0,0,0,0,0,2
4128,,717,T06,-35.08333333,347.7166667,0.08075,0.008,Interpolation,Atlantic Ocean,Tristan da Cunha,T+,N,5,-49.6,-8.7,319,4.2906,2,22,3,13.63636364,27.21724697,3.9,4.276483917,,Volcanic,Basanitic/Tephritic,Lava Flow,,"Directional Groups taken together, kappa read in as k,  a95 calculated in matlab",Tristan da Cunha,0,0,0,1,1,0,0,0,0,1,3
1212,1531,109,RE15,-21,55.5,0.0811,,Interpolation,Indian Ocean,La Reunion,T+,N,4,-35.7,-21,157,7.4,3,52.5,2.586503431,4.926673202,8.544453952,,11.70959723,,Volcanic,,Lava Flow,titanomagnetite,,"Piton de Neiges, Reunion",1,0,0,1,0,0,0,0,0,0,2
235,248,26,RA01,-21,55.5,0.082,0.006,K-Ar,Indian Ocean,La Reunion,T+,N,3,-45.2,7.8,68,15,2,36.4,4.5,12,24.59400936,,7.425961963,,Volcanic,,Lava Flow,,,,1,0,0,1,0,0,0,0,0,0,2
1213,1532,109,RE17,-21,55.5,0.0825,,Interpolation,Indian Ocean,La Reunion,T+,N,4,-40.2,-20.8,9,32.3,2,49.95,3.74766594,7.502834715,14.78545126,,10.70538354,,Volcanic,,Lava Flow,titanomagnetite,,"Piton de Neiges, Reunion",1,0,0,1,0,0,0,0,0,0,2
236,249,26,RA02,-21,55.5,0.0827,,Interpolation,Indian Ocean,La Reunion,T+,N,3,-48.5,1.5,249,7.8,1,32.8,,,,,6.455769964,,Volcanic,,Lava Flow,,,,1,0,0,1,0,0,0,0,0,0,2
1962,2491,165,GU26-29,16,298.3,0.083,0.002,K-Ar,Atlantic Ocean,Lesser Antilles,Tv,N,5,33.2,2.6,56,10.4,5,39.1,4.3,11,17.07115869,9.3,8.901989836,9.124585539,Volcanic,,Lava Flow,,weighted F and VADM,,1,1,0,0,0,0,0,0,0,1,3
1214,1533,109,RE18,-21,55.5,0.0832,,Interpolation,Indian Ocean,La Reunion,T+,N,2,-46.5,-5.5,,,3,44.53333333,8.794505861,19.7481419,35.33650374,,8.956026886,,Volcanic,,Lava Flow,titanomagnetite,,"Piton de Neiges, Reunion",1,0,0,1,1,0,0,0,0,0,3
